;8;127;10;10
banlieue;;;;
...;;;;
Conseille;;;;
-moi;;;;
,;;;;
Jacques;;;;
,;;;;
je;;;;
m';;;;
ennuie;;;;
,;;;;
je;;;;
souffre;;;;
...;;;;
Elle;;;;
m';;;;
a;;;;
fait;;;;
bien;;;;
du;;;;
mal;;;;
,;;;;
vois;;;;
-;;;;
tul;;;;
je;;;;
ne;;;;
crois;;;;
plus;;;;
en;;;;
moi;;;;
,;;;;
je;;;;
doute;;;;
,;;;;
j';;;;
ai;;;;
peur;;;;
.;;;;
Que;;;;
faut;;;;
-il;;;;
faire;;;;
?;;;;
...;;;;
tra-;;;;
vailler;;;;
?;;;;
...;;;;
Helasl;;;;
elle;;;;
a;;;;
raison;;;;
je;;;;
ne;;;;
suis;;;;
pas;;;;
poete;;;;
,;;;;
mon;;;;
livre;;;;
ne;;;;
s';;;;
est;;;;
pas;;;;
vendu;;;;
...;;;;
Et;;;;
pour;;;;
payer;;;;
,;;;;
comment;;;;
vas;;;;
-;;;;
tu;;;;
faire;;;;
f;;;;
...;;;;
Toute;;;;
ma;;;;
vie;;;;
est;;;;
gatee;;;;
.;;;;
Je;;;;
n';;;;
y;;;;
vois;;;;
plus;;;;
,;;;;
je;;;;
ne;;;;
sais;;;;
plus;;;;
.;;;;
Il;;;;
fait;;;;
noir;;;;
...;;;;
Il;;;;
y;;;;
a;;;;
des;;;;
noms;;;;
predestines;;;;
.;;;;
Elle;;;;
s';;;;
appelle;;;;
Irma;;;;
Borel;;;;
,;;;;
Borel;;;;
,;;;;
chez;;;;
nous;;;;
ga;;;;
veut;;;;
dire;;;;
bourreau;;;;
...;;;;
Irma;;;;
Bourreaul;;;;
...;;;;
Comme;;;;
ce;;;;
nom;;;;
lui;;;;
va;;;;
bienl;;;;
...;;;;
Je;;;;
voudrais;;;;
demenager;;;;
.;;;;
Cette;;;;
chambre;;;;
m';;;;
est;;;;
odieuse;;;;
...;;;;
zo6;;;;
LE;;;;
PETIT;;;;
CHOSE;;;;
Et;;;;
puis;;;;
,;;;;
je;;;;
suis;;;;
expose;;;;
a;;;;
la;;;;
rencontrer;;;;
dans;;;;
l';;;;
escalier;;;;
...;;;;
Par;;;;
exemple;;;;
,;;;;
sois;;;;
tranquille;;;;
,;;;;
si;;;;
elle;;;;
remonte;;;;
jamais;;;;
...;;;;
Mais;;;;
elle;;;;
ne;;;;
remontera;;;;
pas;;;;
.;;;;
Elle;;;;
m';;;;
a;;;;
oublie;;;;
.;;;;
Les;;;;
artistes;;;;
sont;;;;
la;;;;
pour;;;;
la;;;;
consoler;;;;
...;;;;
aAhl;;;;
mon;;;;
Dieul;;;;
qu';;;;
est;;;;
-ce;;;;
que;;;;
j';;;;
entends;;;;
k;;;;
...;;;;
Jacques;;;;
,;;;;
mon;;;;
frere;;;;
,;;;;
c';;;;
est;;;;
elle;;;;
.;;;;
Je;;;;
te;;;;
dis;;;;
que;;;;
c';;;;
est;;;;
elle;;;;
.;;;;
Elle;;;;
vient;;;;
ici;;;;
	;;;;
j';;;;
ai;;;;
reconnu;;;;
son;;;;
pas;;;;
...;;;;
Elle;;;;
est;;;;
la;;;;
,;;;;
tout;;;;
pres;;;;
.;;;;
';;;;
entends;;;;
son;;;;
haleine;;;;
...;;;;
Son;;;;
eil;;;;
colle;;;;
a;;;;
la;;;;
serrure;;;;
me;;;;
regarde;;;;
,;;;;
me;;;;
brule;;;;
,;;;;
me;;;;
..;;;;
Cette;;;;
lettre;;;;
ne;;;;
partit;;;;
pas;;;;
.;;;;
XII;;;;
TOLOCOToTIGNAN;;;;
Me;;;;
voici;;;;
arrive;;;;
aux;;;;
pages;;;;
les;;;;
plus;;;;
sombres;;;;
de;;;;
mon;;;;
histoire;;;;
,;;;;
aux;;;;
jours;;;;
de;;;;
misere;;;;
et;;;;
de;;;;
honte;;;;
que;;;;
Daniel;;;;
Eyssette;;;;
a;;;;
vecus;;;;
a;;;;
cote;;;;
de;;;;
cette;;;;
femme;;;;
,;;;;
comedien;;;;
dans;;;;
la;;;;
banlieue;;;;
de;;;;
Paris;;;;
.;;;;
Chose;;;;
singulierel;;;;
ce;;;;
temps;;;;
de;;;;
ma;;;;
vie;;;;
,;;;;
accidente;;;;
,;;;;
bruyant;;;;
,;;;;
tourbillonnant;;;;
,;;;;
m';;;;
a;;;;
laisse;;;;
des;;;;
remords;;;;
plutot;;;;
que;;;;
des;;;;
souvenirs;;;;
.;;;;
Tout;;;;
ce;;;;
coin;;;;
de;;;;
ma;;;;
memoire;;;;
est;;;;
brouille;;;;
,;;;;
je;;;;
ne;;;;
vois;;;;
rien;;;;
,;;;;
rien;;;;
...;;;;
Mais;;;;
,;;;;
attendezl;;;;
...;;;;
Je;;;;
n';;;;
ai;;;;
qu';;;;
a;;;;
fermer;;;;
les;;;;
yeux;;;;
et;;;;
h;;;;
fredonner;;;;
deux;;;;
ou;;;;
trois;;;;
fois;;;;
ce;;;;
refrain;;;;
bizarre;;;;
et;;;;
melancolique;;;;
:;;;;
Tolocototignanl;;;;
Toloco-;;;;
totignan;;;;
tout;;;;
de;;;;
suite;;;;
,;;;;
comme;;;;
par;;;;
magie;;;;
,;;;;
mes;;;;
souvenirs;;;;
assoupis;;;;
vont;;;;
se;;;;
reveiller;;;;
,;;;;
les;;;;
heures;;;;
mortes;;;;
sortiront;;;;
de;;;;
leurs;;;;
tombeaux;;;;
,;;;;
et;;;;
je;;;;
retrouverai;;;;
le;;;;
petit;;;;
Chose;;;;
,;;;;
tel;;;;
qu';;;;
il;;;;
etait;;;;
alors;;;;
,;;;;
dans;;;;
une;;;;
grande;;;;
maison;;;;
neuve;;;;
du;;;;
boulevard;;;;
Montparnasse;;;;
,;;;;
entre;;;;
Irma;;;;
Borel;;;;
qui;;;;
repetait;;;;
ses;;;;
rOles;;;;
,;;;;
et;;;;
Coucou;;;;
-;;;;
Blanc;;;;
qui;;;;
chantait;;;;
sans;;;;
cesse;;;;
:;;;;
Tolocototignanl;;;;
Tolocototignanl;;;;
Pouahl;;;;
l';;;;
horrible;;;;
maisonl;;;;
je;;;;
la;;;;
vois;;;;
maintenant;;;;
,;;;;
je;;;;
la;;;;
vois;;;;
avec;;;;
ses;;;;
mille;;;;
fenetres;;;;
,;;;;
sa;;;;
rampe;;;;
verte;;;;
et;;;;
poisseuse;;;;
,;;;;
ses;;;;
plombs;;;;
beants;;;;
,;;;;
ses;;;;
portes;;;;
numerotees;;;;
,;;;;
ses;;;;
longs;;;;
corridors;;;;
blancs;;;;
qui;;;;
sentaient;;;;
la;;;;
pein-;;;;
ture;;;;
fraiche;;;;
..;;;;
,;;;;
toute;;;;
neuve;;;;
,;;;;
et;;;;
dejh;;;;
salie;;;;
...;;;;
Il;;;;
y;;;;
avait;;;;
cent;;;;
huit;;;;
chambres;;;;
la;;;;
dedans;;;;
	;;;;
dans;;;;
chaque;;;;
chambre;;;;
,;;;;
un;;;;
menage;;;;
.;;;;
Et;;;;
quels;;;;
menagesl;;;;
..;;;;
zo8;;;;
LE;;;;
PETIT;;;;
CHOSE;;;;
Tout;;;;
le;;;;
jour;;;;
,;;;;
c';;;;
etaient;;;;
des;;;;
scenes;;;;
,;;;;
des;;;;
cris;;;;
,;;;;
du;;;;
fracas;;;;
,;;;;
des;;;;
tueries;;;;
	;;;;
la;;;;
nuit;;;;
,;;;;
des;;;;
piaillements;;;;
d';;;;
enfants;;;;
,;;;;
des;;;;
pieds;;;;
nus;;;;
marchant;;;;
sur;;;;
le;;;;
carreau;;;;
,;;;;
puis;;;;
le;;;;
balancement;;;;
uniforme;;;;
et;;;;
lourd;;;;
des;;;;
berceaux;;;;
.;;;;
De;;;;
temps;;;;
en;;;;
temps;;;;
,;;;;
pour;;;;
varier;;;;
,;;;;
des;;;;
visites;;;;
de;;;;
la;;;;
police;;;;
.;;;;
C';;;;
est;;;;
la;;;;
,;;;;
c';;;;
est;;;;
dans;;;;
cet;;;;
antre;;;;
garni;;;;
a;;;;
sept;;;;
etages;;;;
qu';;;;
Irma;;;;
Borel;;;;
et;;;;
le;;;;
petit;;;;
Chose;;;;
etaient;;;;
venus;;;;
abriter;;;;
leur;;;;
amour;;;;
...;;;;
Triste;;;;
logis;;;;
et;;;;
bien;;;;
fait;;;;
pour;;;;
un;;;;
pareil;;;;
hotel;;;;
...;;;;
Ils;;;;
l';;;;
avaient;;;;
choisi;;;;
parce;;;;
que;;;;
c';;;;
etait;;;;
pres;;;;
de;;;;
leur;;;;
theatre;;;;
	;;;;
et;;;;
puis;;;;
,;;;;
comme;;;;
dans;;;;
toutes;;;;
les;;;;
maisons;;;;
neuves;;;;
,;;;;
ils;;;;
ne;;;;
payaient;;;;
pas;;;;
cher;;;;
.;;;;
Pour;;;;
quarante;;;;
francs;;;;
-;;;;
un;;;;
prix;;;;
d';;;;
essuyeurs;;;;
de;;;;
platre;;;;
,;;;;
-;;;;
ils;;;;
avaient;;;;
deux;;;;
chambres;;;;
au;;;;
second;;;;
etage;;;;
,;;;;
avec;;;;
un;;;;
lisere;;;;
de;;;;
balcon;;;;
sur;;;;
le;;;;
boulevard;;;;
,;;;;
le;;;;
plus;;;;
bel;;;;
appartement;;;;
de;;;;
l';;;;
h6tel;;;;
...;;;;
Ils;;;;
ren-;;;;
traient;;;;
tous;;;;
les;;;;
soirs;;;;
vers;;;;
minuit;;;;
,;;;;
a;;;;
la;;;;
fin;;;;
du;;;;
spectacle;;;;
.;;;;
C';;;;
etait;;;;
sinistre;;;;
de;;;;
revenir;;;;
par;;;;
ces;;;;
grandes;;;;
avenues;;;;
desertes;;;;
,;;;;
oi;;;;
rodaient;;;;
des;;;;
blouses;;;;
silencieuses;;;;
,;;;;
des;;;;
fillesen;;;;
cheveux;;;;
,;;;;
et;;;;
les;;;;
grandes;;;;
redingotes;;;;
des;;;;
patrouilles;;;;
grises;;;;
.;;;;
Ils;;;;
marchaient;;;;
vite;;;;
,;;;;
au;;;;
milieu;;;;
de;;;;
la;;;;
chaussee;;;;
.;;;;
En;;;;
arrivant;;;;
,;;;;
ils;;;;
trou-;;;;
vaient;;;;
un;;;;
peu;;;;
de;;;;
viande;;;;
froide;;;;
sur;;;;
un;;;;
coin;;;;
de;;;;
la;;;;
table;;;;
et;;;;
la;;;;
negresse;;;;
Coucou;;;;
-;;;;
Blanc;;;;
,;;;;
qui;;;;
attendait;;;;
...;;;;
car;;;;
Irma;;;;
Borel;;;;
avait;;;;
garde;;;;
Coucou-;;;;
Blanc;;;;
.;;;;
M.;;;;
de;;;;
Huit;;;;
-;;;;
a;;;;
-;;;;
Dix;;;;
avait;;;;
repris;;;;
son;;;;
cocher;;;;
,;;;;
ses;;;;
meubles;;;;
,;;;;
sa;;;;
vaisselle;;;;
,;;;;
sa;;;;
voiture;;;;
.;;;;
Irma;;;;
Borel;;;;
avait;;;;
garde;;;;
sa;;;;
negresse;;;;
,;;;;
son;;;;
kakatoes;;;;
,;;;;
quelques;;;;
bijoux;;;;
et;;;;
toutes;;;;
ses;;;;
robes;;;;
...;;;;
Celles;;;;
-;;;;
ci;;;;
,;;;;
bien;;;;
entendu;;;;
,;;;;
ne;;;;
lui;;;;
servaient;;;;
plus;;;;
qu';;;;
ha;;;;
la;;;;
scene;;;;
,;;;;
les;;;;
traines;;;;
de;;;;
velours;;;;
et;;;;
de;;;;
moire;;;;
n';;;;
etant;;;;
point;;;;
faites;;;;
pour;;;;
balayer;;;;
les;;;;
boulevards;;;;
exterieurs;;;;
...;;;;
A;;;;
elles;;;;
seules;;;;
,;;;;
les;;;;
robes;;;;
occupaient;;;;
une;;;;
des;;;;
deux;;;;
chambres;;;;
.;;;;
Elles;;;;
etaient;;;;
la;;;;
pendues;;;;
tout;;;;
autour;;;;
a;;;;
des;;;;
portemanteaux;;;;
d';;;;
acier;;;;
,;;;;
et;;;;
leurs;;;;
grands;;;;
plis;;;;
soyeux;;;;
,;;;;
leurs;;;;
couleurs;;;;
voyantes;;;;
constrastaient;;;;
etrangement;;;;
avec;;;;
le;;;;
carreau;;;;
derougi;;;;
et;;;;
le;;;;
meuble;;;;
fane;;;;
.;;;;
C';;;;
est;;;;
dans;;;;
cette;;;;
chambre;;;;
que;;;;
couchait;;;;
la;;;;
negresse;;;;
.;;;;
Elle;;;;
y;;;;
avait;;;;
installe;;;;
sa;;;;
paillasse;;;;
,;;;;
son;;;;
fer;;;;
ha;;;;
cheval;;;;
,;;;;
sa;;;;
bouteille;;;;
d';;;;
eau-;;;;
de-vie;;;;
	;;;;
seulement;;;;
,;;;;
de;;;;
peur;;;;
du;;;;
feu;;;;
,;;;;
on;;;;
ne;;;;
lui;;;;
laissait;;;;
pas;;;;
de;;;;
lumiere;;;;
.;;;;
Aussi;;;;
,;;;;
la;;;;
nuit;;;;
,;;;;
quand;;;;
ils;;;;
rentraient;;;;
,;;;;
Coucou;;;;
-;;;;
Blanc;;;;
,;;;;
accroupie;;;;
sur;;;;
sa;;;;
paillasse;;;;
au;;;;
clair;;;;
de;;;;
lune;;;;
,;;;;
avait;;;;
l';;;;
air;;;;
,;;;;
parmi;;;;
ces;;;;
robes;;;;
mysterieuses;;;;
,;;;;
d';;;;
une;;;;
vieille;;;;
sorciere;;;;
preposee;;;;
par;;;;
Barbe;;;;
-;;;;
Bleue;;;;
a;;;;
la;;;;
garde;;;;
des;;;;
sept;;;;
pendues;;;;
...;;;;
L';;;;
autre;;;;
piece;;;;
,;;;;
la;;;;
plus;;;;
petite;;;;
,;;;;
etait;;;;
pour;;;;
eux;;;;
et;;;;
le;;;;
kakatoes;;;;
.;;;;
Juste;;;;
la;;;;
place;;;;
d';;;;
un;;;;
lit;;;;
,;;;;
de;;;;
trois;;;;
chaises;;;;
,;;;;
d';;;;
une;;;;
table;;;;
et;;;;
du;;;;
grand;;;;
perchoir;;;;
ha;;;;
batons;;;;
dores;;;;
.;;;;
Si;;;;
triste;;;;
et;;;;
si;;;;
etroit;;;;
que;;;;
fit;;;;
leur;;;;
logis;;;;
,;;;;
ils;;;;
n';;;;
en;;;;
sortaient;;;;
jamais;;;;
.;;;;
Le;;;;
temps;;;;
que;;;;
leur;;;;
laissait;;;;
le;;;;
theatre;;;;
,;;;;
ils;;;;
le;;;;
passaient;;;;
chez;;;;
eux;;;;
a;;;;
apprendre;;;;
(;;;;
Y;;;;
d;;;;
wh--;;;;
N;;;;
--(]]--;;;;
,;;;;
-l;;;;
.;;;;
';;;;
,;;;;
-;;;;
I;;;;
';;;;
.;;;;
,;;;;
Il;;;;
';;;;
w-4;;;;
g;;;;
I;;;;
-;;;;
1;;;;
-;;;;
-1;;;;
LP;;;;
-;;;;
N;;;;
A;;;;
f;;;;
I;;;;
:;;;;
.;;;;
.-q;;;;
..;;;;
----;;;;
t;;;;
t;;;;
1;;;;
r;;;;
,;;;;
..;;;;
M;;;;
4-;;;;
,;;;;
.I;;;;
-2;;;;
LN;;;;
-=.;;;;
--;;;;
---.r-;;;;
.;;;;
:;;;;
g;;;;
aY;;;;
1;;;;
1;;;;
r;;;;
-;;;;
.;;;;
1;;;;
c;;;;
];;;;
-a;;;;
.TOLOCoToTIGNAN;;;;
zog;;;;
leurs;;;;
roles;;;;
,;;;;
et;;;;
c';;;;
etait;;;;
,;;;;
je;;;;
vous;;;;
le;;;;
jure;;;;
,;;;;
un;;;;
terrible;;;;
charivari;;;;
.;;;;
D';;;;
un;;;;
bout;;;;
de;;;;
la;;;;
maison;;;;
a;;;;
l';;;;
autre;;;;
on;;;;
entendait;;;;
leurs;;;;
rugissements;;;;
dramatiques;;;;
:;;;;
Ma;;;;
fille;;;;
,;;;;
rendez;;;;
-moi;;;;
ma;;;;
fillel;;;;
-;;;;
Par;;;;
ici;;;;
,;;;;
Gaspardl;;;;
-;;;;
Son;;;;
nom;;;;
,;;;;
son;;;;
nom;;;;
,;;;;
misera;;;;
-;;;;
a;;;;
-;;;;
blelo;;;;
Par;;;;
la;;;;
-;;;;
dessus;;;;
,;;;;
les;;;;
cris;;;;
dechirants;;;;
du;;;;
kakatoes;;;;
,;;;;
et;;;;
la;;;;
voix;;;;
aigue;;;;
de;;;;
Coucou;;;;
-;;;;
Blanc;;;;
qui;;;;
chantonnait;;;;
sans;;;;
cesse;;;;
:;;;;
Tolocototignanl;;;;
...;;;;
Tolocototignan;;;;
';;;;
...;;;;
Irma;;;;
Borel;;;;
etait;;;;
heureuse;;;;
,;;;;
elle;;;;
.;;;;
Cette;;;;
vie;;;;
lui;;;;
plaisait;;;;
	;;;;
cela;;;;
l';;;;
amusait;;;;
de;;;;
jouer;;;;
au;;;;
menage;;;;
d';;;;
artistes;;;;
pauvres;;;;
.;;;;
e;;;;
ne;;;;
regrette;;;;
rien;;;;
,;;;;
disait;;;;
-elle;;;;
souvent;;;;
.;;;;
Qu';;;;
aurait;;;;
-elle;;;;
regrette;;;;
Le;;;;
jour;;;;
ou;;;;
la;;;;
misere;;;;
la;;;;
fatiguerait;;;;
,;;;;
le;;;;
jour;;;;
oi;;;;
elle;;;;
serait;;;;
lasse;;;;
de;;;;
boire;;;;
du;;;;
vin;;;;
au;;;;
litre;;;;
et;;;;
de;;;;
manger;;;;
ces;;;;
hideuses;;;;
portions;;;;
a;;;;
sauce;;;;
brune;;;;
qu';;;;
on;;;;
leur;;;;
montait;;;;
de;;;;
la;;;;
gargotte;;;;
,;;;;
le;;;;
jour;;;;
oi;;;;
elle;;;;
en;;;;
aurait;;;;
jusque;;;;
-;;;;
la;;;;
de;;;;
l';;;;
art;;;;
dramatique;;;;
de;;;;
la;;;;
banlieue;;;;
,;;;;
ce;;;;
jour;;;;
-;;;;
lha;;;;
,;;;;
elle;;;;
savait;;;;
bien;;;;
qu';;;;
elle;;;;
reprendrait;;;;
son;;;;
existence;;;;
d';;;;
autrefois;;;;
.;;;;
Tout;;;;
ce;;;;
qu';;;;
elle;;;;
avait;;;;
perdu;;;;
,;;;;
elle;;;;
n';;;;
aurait;;;;
qu';;;;
a;;;;
lever;;;;
un;;;;
doigt;;;;
pour;;;;
le;;;;
retrouver;;;;
.;;;;
C';;;;
est;;;;
cette;;;;
pensee;;;;
d';;;;
arriere;;;;
-;;;;
garde;;;;
qui;;;;
lui;;;;
donnait;;;;
du;;;;
courage;;;;
et;;;;
lui;;;;
faisait;;;;
dire;;;;
:;;;;
a;;;;
e;;;;
ne;;;;
regrette;;;;
rien;;;;
.;;;;
n;;;;
Elle;;;;
ne;;;;
regrettait;;;;
rien;;;;
,;;;;
elle;;;;
	;;;;
mais;;;;
lui;;;;
,;;;;
lui;;;;
?;;;;
..;;;;
Ils;;;;
avaient;;;;
debute;;;;
tous;;;;
les;;;;
deux;;;;
dans;;;;
Gaspardo;;;;
le;;;;
Pecheur;;;;
,;;;;
un;;;;
des;;;;
plus;;;;
beaux;;;;
morceaux;;;;
de;;;;
la;;;;
ferblanterie;;;;
melodramatique;;;;
.;;;;
Elle;;;;
y;;;;
fut;;;;
tres;;;;
acclamee;;;;
,;;;;
non;;;;
certes;;;;
pour;;;;
son;;;;
talent;;;;
,;;;;
-;;;;
mauvaise;;;;
voix;;;;
,;;;;
gestes;;;;
ridicules;;;;
,;;;;
-;;;;
mais;;;;
pour;;;;
ses;;;;
bras;;;;
de;;;;
neige;;;;
,;;;;
pour;;;;
ses;;;;
robes;;;;
de;;;;
velours;;;;
.;;;;
Le;;;;
public;;;;
de;;;;
la;;;;
-;;;;
bas;;;;
n';;;;
est;;;;
pas;;;;
habitue;;;;
a;;;;
ces;;;;
exhibitions;;;;
de;;;;
chair;;;;
eblouis-;;;;
sante;;;;
et;;;;
de;;;;
robes;;;;
glorieuses;;;;
a;;;;
quarante;;;;
francs;;;;
le;;;;
metre;;;;
.;;;;
Dans;;;;
la;;;;
salle;;;;
on;;;;
disait;;;;
:;;;;
C';;;;
est;;;;
une;;;;
duchesseln;;;;
et;;;;
les;;;;
titis;;;;
emerveilles;;;;
applaudissaient;;;;
h;;;;
tete;;;;
fendre;;;;
...;;;;
Il;;;;
n';;;;
eut;;;;
pas;;;;
le;;;;
meme;;;;
succes;;;;
.;;;;
On;;;;
le;;;;
trouva;;;;
trop;;;;
petit;;;;
	;;;;
et;;;;
puis;;;;
il;;;;
avait;;;;
peur;;;;
,;;;;
il;;;;
avait;;;;
honte;;;;
.;;;;
Il;;;;
parlait;;;;
tout;;;;
bas;;;;
,;;;;
comme;;;;
h;;;;
confesse;;;;
:;;;;
Plus;;;;
hautl;;;;
plus;;;;
hautln;;;;
lui;;;;
criait;;;;
-on;;;;
.;;;;
Mais;;;;
sa;;;;
gorge;;;;
se;;;;
serrait;;;;
,;;;;
etranglant;;;;
les;;;;
mots;;;;
au;;;;
passage;;;;
.;;;;
Il;;;;
fut;;;;
siffle;;;;
...;;;;
Que;;;;
voulez;;;;
-;;;;
vousl;;;;
Irma;;;;
avait;;;;
beau;;;;
dire;;;;
,;;;;
la;;;;
vocation;;;;
n';;;;
y;;;;
etait;;;;
pas;;;;
.;;;;
Apres;;;;
tout;;;;
,;;;;
parce;;;;
qu';;;;
on;;;;
est;;;;
mauvais;;;;
poete;;;;
,;;;;
ce;;;;
n';;;;
est;;;;
pas;;;;
une;;;;
raison;;;;
pour;;;;
etre;;;;
bon;;;;
comedien;;;;
.;;;;
La;;;;
creole;;;;
le;;;;
consolait;;;;
de;;;;
son;;;;
mieux;;;;
:;;;;
aIls;;;;
n';;;;
ont;;;;
pas;;;;
compris;;;;
le;;;;
caractere;;;;
de;;;;
ta;;;;
tete;;;;
...;;;;
lui;;;;
disait;;;;
-elle;;;;
souvent;;;;
.;;;;
Le;;;;
directeur;;;;
ne;;;;
s';;;;
y;;;;
trompa;;;;
point;;;;
,;;;;
lui;;;;
,;;;;
sur;;;;
le;;;;
caractere;;;;
de;;;;
la;;;;
tete;;;;
.;;;;
Apres;;;;
deux;;;;
representations;;;;
ora-;;;;
geuses;;;;
,;;;;
il;;;;
le;;;;
fit;;;;
venir;;;;
dans;;;;
son;;;;
cabinet;;;;
et;;;;
lui;;;;
dit;;;;
:;;;;
a;;;;
Mon;;;;
petit;;;;
,;;;;
le;;;;
drame;;;;
n';;;;
est;;;;
pas;;;;
ton;;;;
affaire;;;;
.;;;;
Nous;;;;
nous;;;;
sommes;;;;
fourvoyes;;;;
.;;;;
Essayons;;;;
du;;;;
vau-;;;;
deville;;;;
.;;;;
Je;;;;
crois;;;;
que;;;;
dans;;;;
les;;;;
comiques;;;;
tu;;;;
marcheras;;;;
tres;;;;
bien.n;;;;
Et2Io;;;;
LE;;;;
PETIT;;;;
CHOSE;;;;
des;;;;
le;;;;
lendemain;;;;
,;;;;
on;;;;
essaya;;;;
du;;;;
vaudeville;;;;
.;;;;
Il;;;;
joua;;;;
les;;;;
jeunes;;;;
premiers;;;;
comiques;;;;
,;;;;
les;;;;
gandins;;;;
ahuris;;;;
auxquels;;;;
ont;;;;
fait;;;;
boire;;;;
de;;;;
la;;;;
limonade;;;;
Roge;;;;
en;;;;
guise;;;;
de;;;;
champagne;;;;
,;;;;
et;;;;
qui;;;;
courent;;;;
la;;;;
scene;;;;
en;;;;
se;;;;
tenant;;;;
le;;;;
ventre;;;;
.;;;;
les;;;;
niais;;;;
a;;;;
perruque;;;;
rousse;;;;
qui;;;;
pleurent;;;;
comme;;;;
des;;;;
veaux;;;;
,;;;;
a;;;;
heul;;;;
...;;;;
heul;;;;
...;;;;
heul;;;;
...;;;;
les;;;;
amoureux;;;;
de;;;;
campagne;;;;
qui;;;;
roulent;;;;
des;;;;
yeux;;;;
betes;;;;
en;;;;
disant;;;;
:;;;;
a;;;;
Mam';;;;
selle;;;;
,;;;;
j';;;;
vous;;;;
aimons;;;;
benl;;;;
...;;;;
heullal;;;;
ben;;;;
vrai;;;;
,;;;;
j';;;;
vous;;;;
aimons;;;;
tout;;;;
plein;;;;
ln;;;;
Il;;;;
joua;;;;
les;;;;
Jeannot;;;;
,;;;;
les;;;;
trembleurs;;;;
,;;;;
tous;;;;
ceux;;;;
qui;;;;
sont;;;;
laids;;;;
,;;;;
tous;;;;
ceux;;;;
qui;;;;
font;;;;
rire;;;;
,;;;;
et;;;;
la;;;;
verite;;;;
me;;;;
force;;;;
a;;;;
dire;;;;
qu';;;;
il;;;;
ne;;;;
s';;;;
en;;;;
tira;;;;
pas;;;;
trop;;;;
mal;;;;
.;;;;
Le;;;;
malheureux;;;;
avait;;;;
du;;;;
succes;;;;
	;;;;
il;;;;
faisait;;;;
rirel;;;;
Expliquez;;;;
cela;;;;
si;;;;
vous;;;;
pouvez;;;;
.;;;;
C';;;;
est;;;;
quand;;;;
il;;;;
etait;;;;
en;;;;
scene;;;;
,;;;;
grime;;;;
,;;;;
platre;;;;
,;;;;
charge;;;;
d';;;;
oripeaux;;;;
,;;;;
que;;;;
le;;;;
petit;;;;
Chose;;;;
pensait;;;;
Jacques;;;;
et;;;;
aux;;;;
yeux;;;;
noirs;;;;
.;;;;
C';;;;
est;;;;
au;;;;
milieu;;;;
d';;;;
une;;;;
grimace;;;;
,;;;;
au;;;;
coin;;;;
d';;;;
un;;;;
lazzi;;;;
bete;;;;
,;;;;
que;;;;
l';;;;
image;;;;
de;;;;
tous;;;;
ces;;;;
chers;;;;
etres;;;;
,;;;;
qu';;;;
il;;;;
avait;;;;
si;;;;
lachement;;;;
trahis;;;;
,;;;;
se;;;;
dressait;;;;
tout;;;;
a;;;;
coup;;;;
devant;;;;
lui;;;;
.;;;;
Presque;;;;
tous;;;;
les;;;;
soirs;;;;
,;;;;
les;;;;
titis;;;;
de;;;;
l';;;;
endroit;;;;
pourront;;;;
vous;;;;
l';;;;
affirmer;;;;
,;;;;
il;;;;
lui;;;;
arrivait;;;;
de;;;;
s';;;;
arreter;;;;
net;;;;
au;;;;
beau;;;;
milieu;;;;
d';;;;
une;;;;
tirade;;;;
et;;;;
de;;;;
rester;;;;
debout;;;;
,;;;;
sans;;;;
parler;;;;
,;;;;
la;;;;
bouche;;;;
ouverte;;;;
,;;;;
a;;;;
regarder;;;;
la;;;;
salle;;;;
...;;;;
Dans;;;;
ces;;;;
moments;;;;
-;;;;
la;;;;
,;;;;
son;;;;
ame;;;;
lui;;;;
echappait;;;;
,;;;;
sautait;;;;
par;;;;
-;;;;
dessus;;;;
la;;;;
rampe;;;;
,;;;;
crevait;;;;
le;;;;
plafond;;;;
du;;;;
theatre;;;;
d';;;;
un;;;;
coup;;;;
d';;;;
aile;;;;
,;;;;
et;;;;
s';;;;
en;;;;
allait;;;;
bien;;;;
loin;;;;
donner;;;;
un;;;;
baiser;;;;
a;;;;
Jacques;;;;
,;;;;
un;;;;
baiser;;;;
a;;;;
Mme;;;;
Eyssette;;;;
,;;;;
demander;;;;
grace;;;;
aux;;;;
yeux;;;;
noirs;;;;
en;;;;
se;;;;
plaignant;;;;
amerement;;;;
du;;;;
triste;;;;
metier;;;;
qu';;;;
on;;;;
lui;;;;
faisait;;;;
faire;;;;
.;;;;
-;;;;
Heullal;;;;
ben;;;;
vrail;;;;
j';;;;
vous;;;;
aimons;;;;
tout;;;;
pleinl;;;;
...;;;;
disait;;;;
tout;;;;
a;;;;
coup;;;;
la;;;;
voix;;;;
du;;;;
souffleur;;;;
,;;;;
et;;;;
alors;;;;
,;;;;
le;;;;
malheureux;;;;
petit;;;;
Chose;;;;
,;;;;
arrache;;;;
de;;;;
son;;;;
reve;;;;
,;;;;
tombe;;;;
du;;;;
ciel;;;;
,;;;;
promenait;;;;
autour;;;;
de;;;;
lui;;;;
de;;;;
grands;;;;
yeux;;;;
eton-;;;;
nes;;;;
oi;;;;
se;;;;
peignait;;;;
un;;;;
effarement;;;;
si;;;;
naturel;;;;
,;;;;
si;;;;
comique;;;;
,;;;;
que;;;;
toute;;;;
la;;;;
salle;;;;
partait;;;;
d';;;;
un;;;;
gros;;;;
